Season,Team,W,,,,,
2017-18,Memphis Grizzlies,22,,,,,
2017-18,Phoenix Suns,21,,,,,
2017-18,Toronto Raptors ,59,,,,,
2017-18,Boston Celtics ,55,,,,,
2017-18,Philadelphia 76ers ,52,,,,,
2017-18,Cleveland Cavaliers ,50,,,,,
2017-18,Indiana Pacers ,48,,,,,
2017-18,Miami Heat ,44,,,,,
2017-18,Milwaukee Bucks ,44,,,,,
2017-18,Washington Wizards ,43,,,,,
2017-18,Detroit Pistons,39,,,,,
2017-18,Charlotte Hornets,36,,,,,
2017-18,New York Knicks,29,,,,,
2017-18,Brooklyn Nets,28,,,,,
2017-18,Chicago Bulls,27,,,,,
2017-18,Orlando Magic,25,,,,,
2017-18,Atlanta Hawks,24,,,,,
2018-19,Golden State Warriors ,57,,,,,
2018-19,Denver Nuggets ,54,,,,,
2018-19,Portland Trail Blazers ,53,,,,,
2018-19,Houston Rockets ,53,,,,,
2018-19,Utah Jazz ,50,,,,,
2018-19,Oklahoma City Thunder ,49,,,,,
2018-19,San Antonio Spurs ,48,,,,,
2018-19,Los Angeles Clippers ,48,,,,,
2018-19,Sacramento Kings,39,,,,,
2018-19,Los Angeles Lakers,37,,,,,
2018-19,Minnesota Timberwolves,36,,,,,
2018-19,Memphis Grizzlies,33,,,,,
2018-19,New Orleans Pelicans,33,,,,,
2018-19,Dallas Mavericks,33,,,,,
2018-19,Phoenix Suns,19,,,,,
2018-19,Milwaukee Bucks ,60,,,,,
2018-19,Toronto Raptors ,58,,,,,
2018-19,Philadelphia 76ers ,51,,,,,
2018-19,Boston Celtics ,49,,,,,
2018-19,Indiana Pacers ,48,,,,,
2018-19,Brooklyn Nets ,42,,,,,
2018-19,Orlando Magic ,42,,,,,
2018-19,Detroit Pistons ,41,,,,,
2018-19,Charlotte Hornets,39,,,,,
2018-19,Miami Heat,39,,,,,
2018-19,Washington Wizards,32,,,,,
2018-19,Atlanta Hawks,29,,,,,
2018-19,Chicago Bulls,22,,,,,
2018-19,Cleveland Cavaliers,19,,,,,
2018-19,New York Knicks,17,,,,,
2019-20,Los Angeles Lakers ,52,,,,,
2019-20,Los Angeles Clippers ,49,,,,,
2019-20,Denver Nuggets ,46,,,,,
2019-20,Houston Rockets ,44,,,,,
2019-20,Oklahoma City Thunder ,44,,,,,
2019-20,Utah Jazz ,44,,,,,
2019-20,Dallas Mavericks ,43,,,,,
2019-20,Portland Trail Blazers ,35,,,,,
2019-20,Memphis Grizzlies,34,,,,,
2019-20,Phoenix Suns,34,,,,,
2019-20,San Antonio Spurs,32,,,,,
2019-20,Sacramento Kings,31,,,,,
2019-20,New Orleans Pelicans,30,,,,,
2019-20,Minnesota Timberwolves,19,,,,,
2019-20,Golden State Warriors,15,,,,,
2019-20,Milwaukee Bucks ,56,,,,,
2019-20,Toronto Raptors ,53,,,,,
2019-20,Boston Celtics ,48,,,,,
2019-20,Indiana Pacers ,45,,,,,
2019-20,Miami Heat ,44,,,,,
2019-20,Philadelphia 76ers ,43,,,,,
2019-20,Brooklyn Nets ,35,,,,,
2019-20,Orlando Magic ,33,,,,,
2019-20,Charlotte Hornets,23,,,,,
2019-20,Washington Wizards,25,,,,,
2019-20,Chicago Bulls,22,,,,,
2019-20,New York Knicks,21,,,,,
2019-20,Detroit Pistons,20,,,,,
2019-20,Atlanta Hawks,20,,,,,
2019-20,Cleveland Cavaliers,19,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
